county_fips,state,county_name,party_winner,dem_vote_share,kmeans_cluster,agglomerative_cluster,pca_1,pca_2
1001,ALABAMA,AUTAUGA,0,0.2701836514223982,0,2,0.30432089049888633,-0.6232364003065575
1003,ALABAMA,BALDWIN,0,0.22409029987509,1,0,1.5068860143717482,-0.6069518168429456
1005,ALABAMA,BARBOUR,0,0.4578817265639855,2,1,-3.7459841809681165,-1.76578788634884
1007,ALABAMA,BIBB,0,0.2069828035435122,2,2,-1.6070169913400925,-0.20409330922090838
1009,ALABAMA,BLOUNT,0,0.0956937799043062,0,2,-0.20463498529505805,0.8813176975854977
1011,ALABAMA,BULLOCK,1,0.7470192933015392,2,1,-4.399327861593048,-2.4443776453607398
1013,ALABAMA,BUTLER,0,0.4178962900505902,2,1,-2.5005882247578066,-1.6859741858704436
1015,ALABAMA,CALHOUN,0,0.2984524253182433,2,1,-0.9938902155408001,-0.9805950789249348
1017,ALABAMA,CHAMBERS,0,0.4164485736718136,2,1,-1.6157524795538256,-1.1160611456294034
1019,ALABAMA,CHEROKEE,0,0.1320217868465978,0,2,-0.3983384067101873,1.2097954646126734
1021,ALABAMA,CHILTON,0,0.1591403417918177,0,2,-0.870139881566085,0.16847098275378036
1023,ALABAMA,CHOCTAW,0,0.4189442658092175,2,1,-2.879033705945626,-0.9886030151178715
1025,ALABAMA,CLARKE,0,0.4381423677198325,2,1,-4.068882241447395,-2.0495353200249866
1027,ALABAMA,CLAY,0,0.1828282828282828,0,2,-1.2699717291747301,0.7130027930589453
1029,ALABAMA,CLEBURNE,0,0.0933997509339975,0,2,-0.26410474026373815,1.4065499394802474
1031,ALABAMA,COFFEE,0,0.2278787878787878,0,1,-0.28369452835043973,-0.6827090376656378
1033,ALABAMA,COLBERT,0,0.2991823854263788,0,2,-0.5651474893019882,-0.02760876628019327
1035,ALABAMA,CONECUH,0,0.4604875019406924,2,1,-3.066672057572892,-1.4697441702588763
1037,ALABAMA,COOSA,0,0.3277970432560686,0,1,-1.2205626341846334,0.10516791456159359
1039,ALABAMA,COVINGTON,0,0.1561101549053356,0,2,-1.3822737359444697,0.06114355533027434
1041,ALABAMA,CRENSHAW,0,0.2569140093698051,0,2,-0.9951461666350312,-0.0997121753753581
1043,ALABAMA,CULLMAN,0,0.1069986380253757,0,2,0.03727262512756714,0.7616838966363056
1045,ALABAMA,DALE,0,0.2619313000303982,2,2,-1.5495021400490854,-0.8731063419780547
1047,ALABAMA,DALLAS,1,0.6846171070309002,2,1,-5.144486667949178,-3.6656320921557035
1049,ALABAMA,DEKALB,0,0.1458304946177953,0,2,-1.0060140957056358,0.6184991547989337
1051,ALABAMA,ELMORE,0,0.2526687789422374,0,1,0.594964896826609,-0.8102744167075143
1053,ALABAMA,ESCAMBIA,0,0.3091137649277184,2,1,-3.2616614679797347,-1.2204490281797153
1055,ALABAMA,ETOWAH,0,0.2423524974857526,0,1,-0.8318345734935498,-0.381867004629572
1057,ALABAMA,FAYETTE,0,0.1591375770020534,2,2,-1.9365333834609908,0.37165375810376394
1059,ALABAMA,FRANKLIN,0,0.1658451264111941,0,2,-1.1035290804262878,0.577064229093082
1061,ALABAMA,GENEVA,0,0.1271422877640494,0,2,-1.2969642081750374,0.7870463286946867
1063,ALABAMA,GREENE,1,0.8134031413612566,2,1,-7.082021879192939,-3.6983681753248976
1065,ALABAMA,HALE,1,0.590253164556962,2,1,-4.422927153769438,-2.3589451906217693
1067,ALABAMA,HENRY,0,0.2802753280275328,2,1,-1.0445388082311462,-0.45546353228835385
1069,ALABAMA,HOUSTON,0,0.2797522361553288,2,1,-1.0292213597149857,-1.250477596160763
1071,ALABAMA,JACKSON,0,0.157260111694026,0,2,-0.7019608272550628,0.6815082430460329
1073,ALABAMA,JEFFERSON,1,0.5575851317178562,2,1,-0.599377132258618,-3.299833841071835
1075,ALABAMA,LAMAR,0,0.1359655220353121,0,2,-1.2801358794187085,0.9628499763057644
1077,ALABAMA,LAUDERDALE,0,0.2687250501815557,0,2,0.1788480326061201,-0.05185603071828836
1079,ALABAMA,LAWRENCE,0,0.2221944981598153,0,2,-0.7194174615507292,0.3831783817778739
1081,ALABAMA,LEE,0,0.38992848045459,1,0,-0.008895325163358399,-2.0000548363013
1083,ALABAMA,LIMESTONE,0,0.2776886361328323,0,2,0.5817052803114551,-0.7642103552141323
1085,ALABAMA,LOWNDES,1,0.7274323335771763,2,1,-4.995860034635365,-3.193169954885694
1087,ALABAMA,MACON,1,0.8148572738736674,2,1,-4.86684040231053,-4.035272380883271
1089,ALABAMA,MADISON,0,0.4481560017867503,1,0,1.4523474962276162,-2.4874885773721758
1091,ALABAMA,MARENGO,1,0.50348623853211,2,1,-3.439391438255957,-1.7717779098092017
1093,ALABAMA,MARION,0,0.105960744549866,0,2,-1.0415700640460748,0.9590140840800965
1095,ALABAMA,MARSHALL,0,0.1498676081200353,0,2,-0.09404622691175364,0.3911879371232462
1097,ALABAMA,MOBILE,0,0.4338953069380445,2,1,-1.063673978739297,-2.4261308770227914
1099,ALABAMA,MONROE,0,0.4176040494938133,2,1,-4.357557260816777,-1.9738195794718605
1101,ALABAMA,MONTGOMERY,1,0.6508941990538537,2,1,-1.5786991010423517,-4.108097253089959
1103,ALABAMA,MORGAN,0,0.2463422806299095,0,2,-0.1416002353083347,-0.412776011983584
1105,ALABAMA,PERRY,1,0.7380497131931166,2,1,-6.070351178813462,-3.0478685715574505
1107,ALABAMA,PICKENS,0,0.4160115846090194,2,1,-3.1904100470449235,-1.3724711959306062
1109,ALABAMA,PIKE,0,0.4071960118488548,2,1,-1.911746592114338,-1.6271947789335741
1111,ALABAMA,RANDOLPH,0,0.2032850419857894,0,2,-1.1514527727352017,0.15291280789491174
1113,ALABAMA,RUSSELL,1,0.5264194289465047,2,1,-2.5163853011913213,-2.0281713378098942
1115,ALABAMA,ST. CLAIR,0,0.1742535046466101,0,2,0.4603671875494948,-0.03617886778711299
1117,ALABAMA,SHELBY,0,0.289412788168769,1,0,2.6487917154324343,-1.5262509895345893
1119,ALABAMA,SUMTER,1,0.7388332538547131,2,1,-5.08638132114895,-3.244423540978478
1121,ALABAMA,TALLADEGA,0,0.3683930123657572,2,1,-1.9061145490852274,-1.270096277844873
1123,ALABAMA,TALLAPOOSA,0,0.2791196226954409,2,1,-1.9919344196223256,-1.2673993657612561
1125,ALABAMA,TUSCALOOSA,0,0.4188107172958346,2,1,-0.6166665641221692,-2.121199174967297
1127,ALABAMA,WALKER,0,0.1550850176451716,0,2,-1.0004223128844405,0.36274325967818355
1129,ALABAMA,WASHINGTON,0,0.254393871113114,2,1,-1.7943186898348231,-0.31058995437149306
1131,ALABAMA,WILCOX,1,0.6857530069456209,2,1,-5.682132954234034,-3.2568862306624693
1133,ALABAMA,WINSTON,0,0.086316908897554,0,2,-0.8284069243130461,1.2324274267555224
2013,ALASKA,DISTRICT 13,0,0.3456502009594192,1,0,1.5360775531021091,-4.731060233210205
