model,n_clusters,silhouette_score,inertia
KMeans,2,0.33307193643151045,18988.818550830598
KMeans,3,0.3431450110017701,14392.43712524781
KMeans,4,0.21657338082784605,12507.243615112839
KMeans,5,0.22526606228081908,10939.45451269287
KMeans,6,0.19232071680191992,10112.036841830513
KMeans,7,0.19186955862542956,9403.931336135922
KMeans,8,0.19600053402233847,8823.969414814977
KMeans,9,0.1970888180894112,8260.090966646596
KMeans,10,0.18678711030970857,7841.244451119683
AgglomerativeClustering,3,0.2954481456201296,
