model,feature,importance
Linear Regression,B23025_007E,3.6242026577922366
Linear Regression,B23025_001E,2.517112666668424
Linear Regression,B23025_004E,2.038537346635444
Linear Regression,B23025_003E,1.926998776789313
Linear Regression,labor_force,1.9213241505634315
Linear Regression,B23025_002E,1.921324150563412
Linear Regression,B17001_057E,1.471165220504323
Linear Regression,B01001_030E,1.1643040197578693
Linear Regression,B01001_035E,1.0829994388343163
Linear Regression,B01001_005E,0.9477246039795495
Linear Regression,B01001_036E,0.8919843972219543
Linear Regression,B01001_004E,0.8204385703595576
Linear Regression,B17001_054E,0.6895730675130154
Linear Regression,B01001_013E,0.6476916466277408
Linear Regression,B17001_055E,0.6345829533356627
Linear Regression,B01001_039E,0.5576894843255521
Linear Regression,B01001_014E,0.5417456287058054
Linear Regression,B17001_040E,0.525404358829386
Linear Regression,B17001_044E,0.5209546224820154
Linear Regression,B01001_040E,0.5164153619653843
Linear Regression,B17001_042E,0.489601408544059
Linear Regression,B17001_035E,0.48386501796287196
Linear Regression,B15003_017E,0.4800612752807208
Linear Regression,B01001_022E,0.47589349427572
Linear Regression,B17001_052E,0.4677636439224489
Linear Regression,B17001_056E,0.45695382143709495
Linear Regression,B15003_020E,0.40886319768783597
Linear Regression,B01001_016E,0.39127841750301684
Linear Regression,B17001_036E,0.3754667515008102
Linear Regression,B15003_022E,0.364241159314143
Linear Regression,bachelors_degree,0.3642411593139684
Linear Regression,B01001_047E,0.33659673600023693
Linear Regression,B01001_046E,0.32829920283660996
Linear Regression,B17001_047E,0.3034381582557525
Linear Regression,B01001_034E,0.29378221752470096
Linear Regression,B17001_051E,0.2826099770949948
Linear Regression,B01001_017E,0.28249211750450115
Linear Regression,B01001_012E,0.2786925405942085
Linear Regression,B15003_001E,0.2774879856891885
Linear Regression,B01001_027E,0.27586172518211194
Linear Regression,B01001_021E,0.27483632712846057
Linear Regression,B01001_026E,0.27230883308229703
Linear Regression,B01001_041E,0.26881175752419767
Linear Regression,B17001_058E,0.2606782599928774
Linear Regression,B01001_020E,0.2605283245138306
Linear Regression,B02001_002E,0.2596075864151995
Linear Regression,white_population,0.2596075864150352
Linear Regression,B01001_043E,0.24835837954141587
Linear Regression,B01001_003E,0.24788661261247283
Linear Regression,B01001_037E,0.24345819828182685
Linear Regression,B01001_048E,0.24319847520980448
Linear Regression,B17001_045E,0.23815058690275154
Linear Regression,B01001_042E,0.2325459319072371
Linear Regression,B01001_007E,0.23107503686742017
Linear Regression,B01001_006E,0.21445911744741636
Linear Regression,B01001_045E,0.20596779061102916
Linear Regression,B17001_033E,0.20496340370036903
Linear Regression,B01001_038E,0.20393697323665855
Linear Regression,B01001_010E,0.20329112196748814
Linear Regression,B17001_028E,0.20060615247341493
Linear Regression,total_population,0.19076030004945463
Linear Regression,B02001_001E,0.19076030004938896
Linear Regression,B01001_001E,0.1907603000490585
Linear Regression,B01001_049E,0.19070282776340877
Linear Regression,B17001_049E,0.15654995200573257
Linear Regression,B17001_038E,0.15351217956720903
Linear Regression,B17001_059E,0.14630694119178217
Linear Regression,B01001_031E,0.14378782792661804
Linear Regression,B17001_032E,0.14319165140165038
Linear Regression,B01001_018E,0.1416045080535938
Linear Regression,B15003_021E,0.14139215051637444
Linear Regression,B17001_006E,0.13503982942464568
Linear Regression,B15003_018E,0.13106523419867855
Linear Regression,B01001_028E,0.12856902348989538
Linear Regression,B01001_044E,0.1282059106766703
Linear Regression,B15003_023E,0.11292530063503439
Linear Regression,masters_degree,0.11292530063472128
Linear Regression,B01001_015E,0.11180958739558151
Linear Regression,B01001_008E,0.1067855883038621
Linear Regression,B17001_043E,0.10564780728147283
Linear Regression,B01001_002E,0.10561613706943421
Linear Regression,B17001_023E,0.10283842112484337
Linear Regression,B17001_031E,0.10275515525980153
Linear Regression,B17001_018E,0.09740926976161002
Linear Regression,B17001_025E,0.09196012922627218
Linear Regression,B01001_032E,0.09168707406936528
Linear Regression,B01001_009E,0.0913583127685285
Linear Regression,B17001_001E,0.09080717785962902
Linear Regression,B17001_041E,0.08439598293408808
Linear Regression,B15003_014E,0.08282207083713325
Linear Regression,B02001_003E,0.08264634472856891
Linear Regression,black_population,0.08264634472837101
Linear Regression,B17001_034E,0.08221765551613075
Linear Regression,B01001_033E,0.08172978353187049
Linear Regression,B01001_029E,0.08047328420561761
Linear Regression,higher_education_rate,0.07901108949480923
Linear Regression,B01001_011E,0.07244259337302589
Linear Regression,B17001_050E,0.07219966697349697
Linear Regression,B02001_007E,0.07169664180029814
Linear Regression,B15003_011E,0.0704240547190173
Linear Regression,B01001_019E,0.0704237043199569
Linear Regression,B17001_053E,0.07020149121968511
Linear Regression,white_pct,0.06442397919251894
Linear Regression,B17001_020E,0.06337873340554918
Linear Regression,B17001_046E,0.06310126677950825
Linear Regression,B17001_014E,0.06219628398761758
Linear Regression,B15003_016E,0.06123201195415351
Linear Regression,unemployed,0.06112486122997235
Linear Regression,B23025_005E,0.06112486122997235
Linear Regression,B17001_015E,0.05802143024748353
Linear Regression,B25001_001E,0.05746296054826752
Linear Regression,total_housing_units,0.05746296054825796
Linear Regression,B17001_026E,0.056285511408651456
Linear Regression,B17001_037E,0.05594789721798543
Linear Regression,B15003_015E,0.05504954729503625
Linear Regression,B15003_019E,0.052846621209277966
Linear Regression,B02001_005E,0.05148541113478958
Linear Regression,asian_population,0.05148541113460668
Linear Regression,B15003_002E,0.05139259692151002
Linear Regression,B17001_039E,0.0463357934804803
Linear Regression,professional_degree,0.04521060779500141
Linear Regression,B15003_024E,0.045210607794978985
Linear Regression,B01001_025E,0.04458169576480948
Linear Regression,log_population,0.04184904452180238
Linear Regression,B02001_010E,0.04031562947828339
Linear Regression,B17001_022E,0.040069178275159156
Linear Regression,B17001_024E,0.0392144622228936
Linear Regression,B23025_006E,0.037677411895728354
Linear Regression,B17001_027E,0.03235332542846263
Linear Regression,B17001_029E,0.028709456172166886
Linear Regression,B15003_013E,0.028535755049173134
Linear Regression,doctorate_degree,0.026940895594363967
Linear Regression,B15003_025E,0.026940895594326664
Linear Regression,B17001_048E,0.025178275426763375
Linear Regression,B17001_009E,0.025164916090604825
Linear Regression,B01001_024E,0.025008753066652636
Linear Regression,B17001_021E,0.02346261386832512
Linear Regression,B02001_009E,0.02320724620757053
